batch_id,batch_date,properties_file,properties_record_count,properties_inserts,properties_updates,properties_deletes,transactions_file,transactions_record_count
BATCH_001,2026-07-01,properties_incremental_2026-07-01.csv,4785,1441,3059,285,sales_transactions_incremental_2026-07-01.csv,628
BATCH_002,2026-07-02,properties_incremental_2026-07-02.csv,4277,1249,2750,278,sales_transactions_incremental_2026-07-02.csv,598
BATCH_003,2026-07-03,properties_incremental_2026-07-03.csv,4095,1188,2678,229,sales_transactions_incremental_2026-07-03.csv,517
BATCH_004,2026-07-04,properties_incremental_2026-07-04.csv,3478,1092,2134,252,sales_transactions_incremental_2026-07-04.csv,436
BATCH_005,2026-07-05,properties_incremental_2026-07-05.csv,4356,1161,3026,169,sales_transactions_incremental_2026-07-05.csv,586
BATCH_006,2026-07-06,properties_incremental_2026-07-06.csv,4259,1459,2585,215,sales_transactions_incremental_2026-07-06.csv,521
BATCH_007,2026-07-07,properties_incremental_2026-07-07.csv,3778,1196,2452,130,sales_transactions_incremental_2026-07-07.csv,500
BATCH_008,2026-07-08,properties_incremental_2026-07-08.csv,4438,1039,3295,104,sales_transactions_incremental_2026-07-08.csv,664
BATCH_009,2026-07-09,properties_incremental_2026-07-09.csv,4822,1219,3427,176,sales_transactions_incremental_2026-07-09.csv,669
BATCH_010,2026-07-10,properties_incremental_2026-07-10.csv,5083,1100,3684,299,sales_transactions_incremental_2026-07-10.csv,728
BATCH_011,2026-07-11,properties_incremental_2026-07-11.csv,3242,967,2078,197,sales_transactions_incremental_2026-07-11.csv,377
BATCH_012,2026-07-12,properties_incremental_2026-07-12.csv,4300,1445,2613,242,sales_transactions_incremental_2026-07-12.csv,525
BATCH_013,2026-07-13,properties_incremental_2026-07-13.csv,5066,1232,3615,219,sales_transactions_incremental_2026-07-13.csv,736
BATCH_014,2026-07-14,properties_incremental_2026-07-14.csv,4836,1489,3126,221,sales_transactions_incremental_2026-07-14.csv,640
BATCH_015,2026-07-15,properties_incremental_2026-07-15.csv,4921,811,3935,175,sales_transactions_incremental_2026-07-15.csv,815
BATCH_016,2026-07-16,properties_incremental_2026-07-16.csv,4322,972,3224,126,sales_transactions_incremental_2026-07-16.csv,648
BATCH_017,2026-07-17,properties_incremental_2026-07-17.csv,3338,827,2370,141,sales_transactions_incremental_2026-07-17.csv,437
BATCH_018,2026-07-18,properties_incremental_2026-07-18.csv,4986,886,3829,271,sales_transactions_incremental_2026-07-18.csv,787
BATCH_019,2026-07-19,properties_incremental_2026-07-19.csv,4658,1382,3084,192,sales_transactions_incremental_2026-07-19.csv,595
BATCH_020,2026-07-20,properties_incremental_2026-07-20.csv,3527,857,2509,161,sales_transactions_incremental_2026-07-20.csv,494
BATCH_021,2026-07-21,properties_incremental_2026-07-21.csv,5135,1093,3819,223,sales_transactions_incremental_2026-07-21.csv,812
BATCH_022,2026-07-22,properties_incremental_2026-07-22.csv,4772,1384,3161,227,sales_transactions_incremental_2026-07-22.csv,624
BATCH_023,2026-07-23,properties_incremental_2026-07-23.csv,3356,969,2283,104,sales_transactions_incremental_2026-07-23.csv,487
BATCH_024,2026-07-24,properties_incremental_2026-07-24.csv,5211,1390,3687,134,sales_transactions_incremental_2026-07-24.csv,767
BATCH_025,2026-07-25,properties_incremental_2026-07-25.csv,3934,1220,2428,286,sales_transactions_incremental_2026-07-25.csv,498
BATCH_026,2026-07-26,properties_incremental_2026-07-26.csv,4486,1003,3362,121,sales_transactions_incremental_2026-07-26.csv,684
BATCH_027,2026-07-27,properties_incremental_2026-07-27.csv,4956,1030,3758,168,sales_transactions_incremental_2026-07-27.csv,734
BATCH_028,2026-07-28,properties_incremental_2026-07-28.csv,4510,1348,2971,191,sales_transactions_incremental_2026-07-28.csv,620
BATCH_029,2026-07-29,properties_incremental_2026-07-29.csv,5328,1426,3719,183,sales_transactions_incremental_2026-07-29.csv,749
BATCH_030,2026-07-30,properties_incremental_2026-07-30.csv,3822,1049,2599,174,sales_transactions_incremental_2026-07-30.csv,483
BATCH_031,2026-07-31,properties_incremental_2026-07-31.csv,3355,1042,2186,127,sales_transactions_incremental_2026-07-31.csv,400
BATCH_032,2026-08-01,properties_incremental_2026-08-01.csv,4588,1206,3170,212,sales_transactions_incremental_2026-08-01.csv,653
BATCH_033,2026-08-02,properties_incremental_2026-08-02.csv,4845,1063,3524,258,sales_transactions_incremental_2026-08-02.csv,699
BATCH_034,2026-08-03,properties_incremental_2026-08-03.csv,4105,1240,2652,213,sales_transactions_incremental_2026-08-03.csv,546
BATCH_035,2026-08-04,properties_incremental_2026-08-04.csv,5092,1352,3481,259,sales_transactions_incremental_2026-08-04.csv,699
BATCH_036,2026-08-05,properties_incremental_2026-08-05.csv,5218,1089,3983,146,sales_transactions_incremental_2026-08-05.csv,807
BATCH_037,2026-08-06,properties_incremental_2026-08-06.csv,3352,861,2383,108,sales_transactions_incremental_2026-08-06.csv,490
BATCH_038,2026-08-07,properties_incremental_2026-08-07.csv,5009,917,3849,243,sales_transactions_incremental_2026-08-07.csv,805
BATCH_039,2026-08-08,properties_incremental_2026-08-08.csv,5308,1465,3626,217,sales_transactions_incremental_2026-08-08.csv,753
BATCH_040,2026-08-09,properties_incremental_2026-08-09.csv,3797,1182,2487,128,sales_transactions_incremental_2026-08-09.csv,488
BATCH_041,2026-08-10,properties_incremental_2026-08-10.csv,5113,1004,3958,151,sales_transactions_incremental_2026-08-10.csv,779
BATCH_042,2026-08-11,properties_incremental_2026-08-11.csv,4198,840,3060,298,sales_transactions_incremental_2026-08-11.csv,632
BATCH_043,2026-08-12,properties_incremental_2026-08-12.csv,3236,841,2147,248,sales_transactions_incremental_2026-08-12.csv,445
BATCH_044,2026-08-13,properties_incremental_2026-08-13.csv,4926,1239,3424,263,sales_transactions_incremental_2026-08-13.csv,724
BATCH_045,2026-08-14,properties_incremental_2026-08-14.csv,2979,838,2026,115,sales_transactions_incremental_2026-08-14.csv,422
BATCH_046,2026-08-15,properties_incremental_2026-08-15.csv,3708,1246,2262,200,sales_transactions_incremental_2026-08-15.csv,479
BATCH_047,2026-08-16,properties_incremental_2026-08-16.csv,3753,1398,2091,264,sales_transactions_incremental_2026-08-16.csv,409
BATCH_048,2026-08-17,properties_incremental_2026-08-17.csv,3984,907,2920,157,sales_transactions_incremental_2026-08-17.csv,596
BATCH_049,2026-08-18,properties_incremental_2026-08-18.csv,3655,1012,2458,185,sales_transactions_incremental_2026-08-18.csv,492
BATCH_050,2026-08-19,properties_incremental_2026-08-19.csv,4542,1042,3307,193,sales_transactions_incremental_2026-08-19.csv,662
BATCH_051,2026-08-20,properties_incremental_2026-08-20.csv,4145,1270,2770,105,sales_transactions_incremental_2026-08-20.csv,575
BATCH_052,2026-08-21,properties_incremental_2026-08-21.csv,4596,1499,2947,150,sales_transactions_incremental_2026-08-21.csv,557
BATCH_053,2026-08-22,properties_incremental_2026-08-22.csv,3116,918,2058,140,sales_transactions_incremental_2026-08-22.csv,389
BATCH_054,2026-08-23,properties_incremental_2026-08-23.csv,4403,1104,3153,146,sales_transactions_incremental_2026-08-23.csv,608
BATCH_055,2026-08-24,properties_incremental_2026-08-24.csv,4368,1267,2997,104,sales_transactions_incremental_2026-08-24.csv,608
BATCH_056,2026-08-25,properties_incremental_2026-08-25.csv,4702,1489,3070,143,sales_transactions_incremental_2026-08-25.csv,563
BATCH_057,2026-08-26,properties_incremental_2026-08-26.csv,3811,929,2650,232,sales_transactions_incremental_2026-08-26.csv,524
BATCH_058,2026-08-27,properties_incremental_2026-08-27.csv,4861,980,3643,238,sales_transactions_incremental_2026-08-27.csv,758
BATCH_059,2026-08-28,properties_incremental_2026-08-28.csv,4986,1425,3317,244,sales_transactions_incremental_2026-08-28.csv,659
BATCH_060,2026-08-29,properties_incremental_2026-08-29.csv,4919,1006,3632,281,sales_transactions_incremental_2026-08-29.csv,764
