property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
PT0247456,LST0247456,AG01865,LOC0143,Apartment,3.0,2.0,774.0,0,1922.0,78100.0,2024-08-31,Sold,82376.0,2025-02-12,165,672.0,0,No,No,2024-08-31,2025-02-12
PT0004499,LST0004499,AG00550,LOC0078,Single Family,2.0,2.0,2655.0,3923,1982.0,1703900.0,2025-04-06,Sold,1797749.0,2025-04-12,6,0.0,0,No,No,2025-04-06,2025-04-12
PT0496937,LST0496937,AG02139,LOC0196,Condo,6.0,2.0,2813.0,1534,1954.0,1384000.0,2025-07-04,Sold,1377327.0,2025-11-10,129,408.0,1,No,No,2025-07-04,2025-11-10
PT0411811,LST0411811,AG01684,LOC0132,  Single Family  ,3.0,3.5,1840.0,6692,1923.0,308400.0,2024-08-29,Active,,,51,0.0,1,No,No,2024-08-29,2024-08-29
PT0182654,LST0182654,AG00738,LOC0085,Single Family,5.0,2.5,1768.0,2027,2022.0,267200.0,2023-10-08,Active,,,173,0.0,0,Yes,No,2023-10-08,2023-10-08
PT0336591,LST0336591,AG00615,LOC0181,Single Family,4.0,3.0,724.0,1992,2015.0,170500.0,2024-07-05,Sold,172431.0,2024-11-10,128,0.0,0,Yes,No,2024-07-05,2024-11-10
PT0073460,LST0073460,AG02264,LOC0025,Condominium,6.0,4.5,2212.0,6657,2006.0,778800.0,03/13/2026,Sold,679773.0,2026-06-06,85,173.0,3,No,No,2026-03-13,2026-06-06
PT0055922,LST0055922,AG00098,LOC0035,Single Family,5.0,1.0,1657.0,13728,2022.0,170300.0,2024-02-05,Sold,159333.0,2024-08-01,178,0.0,1,No,No,2024-02-05,2024-08-01
PT0267517,LST0267517,AG02544,LOC0127,Single Family,3.0,4.0,1599.0,1461,1907.0,"$670,400",2024-10-26,Active,,,80,0.0,2,No,No,2024-10-26,2024-10-26
PT0176256,LST0176256,AG02516,LOC0095,Apartment,2.0,1.0,279.0,0,1951.0,,2025-08-03,Sold,89492.0,2025-09-29,57,511.0,2,No,No,2025-08-03,2025-09-29
PT0435043,LST0435043,AG02455,LOC0097,Townhouse,5.0,2.5,888.0,1667,1939.0,131800.0,2026-03-29,Active,,,42,337.0,0,No,N,2026-03-29,2026-03-29
PT0139814,LST0139814,AG02683,LOC0124,Single Family,4.0,2.0,982.0,7884,1925.0,502800.0,2023-11-28,Active,,,27,0.0,0,No,Yes,2023-11-28,2023-11-28
PT0117191,LST0117191,AG02921,LOC0174,Townhouse,5.0,4.0,2703.0,1635,2007.0,922700.0,2026-03-07,Active,,,95,522.0,1,Yes,No,2026-03-07,2026-03-07
PT0274696,LST0274696,AG00685,LOC0095,Condo,4.0,4.0,2353.0,6694,1917.0,412800.0,03/30/2023,Active,,,58,302.0,3,Yes,No,2023-03-30,2023-03-30
PT0340101,LST0340101,AG02331,LOC0143,Townhouse,2.0,4.0,807.0,1562,2025.0,126600.0,2026-04-30,Sold,121144.0,2026-11-10,194,92.0,0,No,No,2026-04-30,2026-11-10
PT0444597,LST0444597,AG02632,LOC0115,Single Family,3.0,2.0,2589.0,5255,1963.0,662500.0,2024-09-13,Sold,635182.0,2024-12-13,91,0.0,3,No,No,2024-09-13,2024-12-13
PT0364430,LST0364430,AG01209,LOC0072,Single Family,4.0,4.5,820.0,5143,1950.0,108200.0,2023-08-30,Active,,,101,0.0,0,Yes,Yes,2023-08-30,2023-08-30
PT0170916,LST0170916,AG00587,LOC0197,Apartment,2.0,4.5,727.0,0,2007.0,288500.0,12/27/2025,Active,,,46,339.0,1,N,No,2025-12-27,2025-12-27
