location_id,city,state,zip_code,latitude,longitude,school_district_rating,price_index
LOC0001,Staciefurt,SD,01089,26.831399,-72.964093,10,1.1
LOC0002,North Loriville,MN,62729,43.718051,-120.736547,3,1.22
LOC0003,New Jasonland,NE,30793,35.521822,-92.232895,10,0.87
LOC0004,Jonesland,OH,59260,42.363164,-105.309067,7,0.67
LOC0005,Brownshire,DE,49505,48.471748,-121.98942,10,1.87
LOC0006,Lake Courtney,AR,05791,37.923901,-81.049444,10,0.9
LOC0007,Williamsbury,AZ,38993,37.026891,-91.980783,2,1.8
LOC0008,West Robert,ND,31026,26.729227,-73.033716,3,0.8
LOC0009,New Kyleburgh,CT,16126,31.442536,-89.89911,2,1.33
LOC0010,West Connor,VT,07105,36.99718,-104.789046,6,1.87
LOC0011,New Brianborough,NM,25348,41.30152,-67.84248,7,2.44
LOC0012,Watersmouth,OR,79208,44.289737,-117.404299,3,2.36
LOC0013,Wardbury,WY,76941,34.142587,-121.001701,7,1.16
LOC0014,Lake Kimberly,CO,25950,26.582472,-82.240551,9,1.31
LOC0015,Aliciamouth,VA,10346,31.915494,-102.860131,2,1.46
LOC0016,Robertsland,DE,49290,46.830245,-103.396491,7,1.19
LOC0017,Martinmouth,FL,67697,30.121248,-74.037667,1,2.15
LOC0018,Fisherland,WV,23800,35.850975,-105.344262,1,2.24
LOC0019,Matthewstad,PA,59367,47.348944,-73.32765,6,0.95
LOC0020,Rileymouth,CA,79542,25.597581,-87.292685,2,1.24
LOC0021,West Thomasland,AR,34572,39.413174,-105.244176,8,0.73
LOC0022,Deborahmouth,LA,87631,47.803108,-120.606639,5,2.22
LOC0023,Eatonstad,AK,01331,30.527269,-110.028767,3,1.45
LOC0024,Kellyville,NM,14365,38.163758,-68.800448,7,1.85
LOC0025,East Kaylaberg,WA,84053,46.819081,-100.899745,5,1.62
LOC0026,South Peter,VI,78639,28.196067,-114.878093,2,1.59
LOC0027,Millermouth,MO,93523,37.561902,-107.013245,8,1.9
LOC0028,Nicolechester,VI,81758,43.009837,-72.724181,4,0.6
LOC0029,Jasminestad,TX,46336,41.056318,-114.596327,1,1.69
LOC0030,Rosarioberg,CO,29028,36.226069,-79.661976,9,2.06
LOC0031,East Jesse,IN,05410,29.916378,-116.312716,2,1.54
LOC0032,South Mariahburgh,KS,48828,36.778381,-69.200558,7,0.81
LOC0033,Adamchester,ND,45067,33.937233,-93.778293,1,1.97
LOC0034,Chelseamouth,DC,19030,36.457628,-121.539314,10,2.39
LOC0035,South Rachelside,MO,06289,33.781369,-70.935583,1,1.11
LOC0036,Rossville,NJ,27236,45.110032,-103.581144,8,1.97
LOC0037,Brownland,IL,33913,43.44754,-82.308987,4,2.07
LOC0038,Martinmouth,PA,05512,32.535872,-94.148643,4,1.59
LOC0039,North Aaronberg,ND,79068,38.743008,-118.722837,3,1.62
LOC0040,West Christinaland,VI,96475,31.625177,-117.954625,3,2.32
LOC0041,New Nicholas,SC,85913,35.86823,-115.494178,10,1.36
LOC0042,Stephaniestad,NJ,27166,33.471481,-114.811599,1,1.55
LOC0043,North Melindamouth,NJ,01992,40.777587,-120.99292,10,1.09
LOC0044,Collinsberg,CT,43394,33.888426,-121.32025,6,1.89
LOC0045,Joyfort,MP,54108,36.018231,-69.939587,1,2.09
LOC0046,New Andrew,NC,89409,42.263779,-118.796368,3,1.32
LOC0047,Dwayneside,PW,49234,34.911804,-95.023954,4,2.19
LOC0048,Port Allisonland,UT,24768,46.754158,-117.2381,6,2.15
LOC0049,Aprilburgh,MI,81898,29.330839,-111.757092,10,1.8
LOC0050,New Amber,NY,41421,42.786853,-80.504892,1,1.23
LOC0051,Danaborough,AS,10716,35.136977,-70.526315,9,0.73
LOC0052,Port Richard,AS,27162,35.234886,-97.226376,1,0.92
LOC0053,East Zachary,MI,04625,40.225117,-123.678409,8,1.89
LOC0054,North Kristyfort,KS,65463,37.549749,-67.045127,1,1.18
LOC0055,Lake Cassie,MI,72334,34.957263,-121.276927,6,1.06
LOC0056,Stokesstad,MN,63875,25.034245,-101.801469,8,2.21
LOC0057,East Curtisfort,ID,08794,27.214296,-93.273768,4,2.33
LOC0058,Jamestown,NJ,54000,42.025465,-73.171194,2,1.68
LOC0059,Laurenland,MP,13790,37.584294,-77.08261,1,1.01
LOC0060,South Kimberlyborough,NJ,52313,41.707851,-89.264961,3,1.54
LOC0061,South Kristina,MA,87536,47.93124,-101.279669,7,0.8
LOC0062,Port Sophiafurt,NH,72608,41.389933,-76.434713,2,1.61
LOC0063,Paulland,VA,20758,26.275089,-74.463672,9,2.34
LOC0064,East Victoria,AK,84279,32.412464,-74.30142,2,1.37
LOC0065,New Rebecca,AS,70493,39.222272,-83.094723,3,1.09
LOC0066,New Margaret,NJ,12448,30.64289,-118.426121,3,1.32
LOC0067,Ericside,DC,86098,48.159304,-106.980973,10,1.09
LOC0068,North Laurenville,NC,21956,47.681157,-96.302443,8,1.71
LOC0069,South Valerie,ID,52637,45.361621,-95.211958,1,1.44
LOC0070,North Johnathan,LA,91649,36.335776,-76.526215,5,1.05
LOC0071,Port Brenda,KS,36043,45.195441,-110.443304,5,2.28
LOC0072,Flowerston,PW,54212,28.146655,-86.118327,1,0.69
LOC0073,Rachaelshire,GU,37633,32.409608,-102.670606,6,1.99
LOC0074,Wilcoxhaven,DC,88032,36.111913,-79.797494,5,2.08
LOC0075,New William,VI,40818,42.804333,-112.840863,8,1.15
LOC0076,Franktown,WI,55268,36.659805,-96.832244,2,0.92
LOC0077,East Donald,RI,07232,28.285027,-118.097161,1,1.29
LOC0078,New Bryanhaven,NC,41442,33.244877,-111.91656,8,2.16
LOC0079,Muellerville,FM,98193,32.786228,-70.695043,2,1.43
LOC0080,East Jameston,WI,74755,32.210054,-105.985315,6,1.96
LOC0081,New Shannontown,WV,47317,28.972034,-73.100311,7,1.76
LOC0082,South Markhaven,PA,54775,34.957643,-94.114724,9,0.79
LOC0083,Lake Joshua,NY,55085,35.754896,-121.77511,5,1.57
LOC0084,Romerobury,UT,02888,43.597609,-78.800044,1,1.8
LOC0085,Sandraborough,MP,48182,44.113377,-121.038457,7,1.13
LOC0086,Taylorville,MO,84974,37.537363,-76.864219,10,0.79
LOC0087,Stewartbury,NE,26348,36.055127,-123.498451,4,2.05
LOC0088,East Elizabethville,MH,51714,43.677126,-85.575654,3,0.76
LOC0089,Lake Dawn,MN,95925,46.294935,-114.554306,1,2.08
LOC0090,West Nicole,NH,53581,41.19805,-104.456111,2,1.78
LOC0091,Lake Stephanie,MO,27196,44.211497,-69.69317,1,1.69
LOC0092,Martinbury,GA,01271,47.538672,-96.284692,9,0.99
LOC0093,Mcknightfurt,MA,57407,25.975739,-86.526696,3,1.2
LOC0094,Gonzalezmouth,CO,21022,46.016121,-81.7781,8,1.17
LOC0095,Andrewside,NH,56043,31.637514,-117.734105,2,1.79
LOC0096,Warnerfurt,MA,15382,36.418348,-76.188642,10,1.52
LOC0097,Williamland,DE,12361,44.122263,-71.906563,7,1.4
LOC0098,North Christopher,KY,53744,42.213814,-115.141023,10,1.7
LOC0099,Port Hunterberg,GU,76233,28.531542,-92.86441,5,2.19
LOC0100,Atkinsonview,MO,48306,40.809958,-107.840208,7,0.71
LOC0101,New Samantha,OK,60912,26.66205,-81.783136,9,1.98
LOC0102,Gravesland,KY,21806,33.569695,-122.388588,2,1.18
LOC0103,Port Haleychester,MH,17537,44.507909,-94.784821,8,1.03
LOC0104,West Shawnaland,AS,02445,35.264916,-78.809553,10,1.57
LOC0105,Christopherbury,CA,07276,39.396507,-82.119996,6,0.94
LOC0106,Michellemouth,AL,72793,42.475871,-117.833522,9,1.93
LOC0107,Virginiachester,PW,19178,44.709463,-76.522414,7,1.19
LOC0108,Christyton,NC,84474,43.252363,-110.443078,2,1.19
LOC0109,North Tanya,KS,52499,25.171439,-77.956105,1,2.44
LOC0110,East Jamesport,SC,12170,35.086164,-95.663657,8,1.19
LOC0111,Amandaborough,LA,75587,36.115269,-114.832931,1,0.82
LOC0112,Porterburgh,KY,82053,26.331988,-82.159681,8,0.75
LOC0113,Lindaview,AZ,49108,37.994611,-77.948962,1,1.98
LOC0114,North Jessicaside,ID,97133,39.586498,-84.162634,4,1.02
LOC0115,Sanchezmouth,CT,66621,44.882877,-69.003759,1,1.36
LOC0116,Douglasside,MP,23004,47.603422,-109.399766,5,2.12
LOC0117,Wallerport,UT,19622,28.075548,-110.561547,1,2.2
LOC0118,East Matthew,MP,46106,30.530336,-115.607885,9,1.02
LOC0119,South Veronica,AR,37633,40.819802,-93.253846,7,1.43
LOC0120,North Chad,WA,21710,28.179376,-101.231417,3,2.05
LOC0121,Ryanton,CO,68810,30.377887,-103.670263,7,1.4
LOC0122,Harrellport,PA,23017,38.796702,-97.762638,3,2.05
LOC0123,Lake Kelly,NH,09295,29.068569,-108.351093,1,1.64
LOC0124,East Joseph,AL,14760,43.773524,-123.757158,2,2.17
LOC0125,Michaelmouth,OH,50797,45.567415,-97.110211,7,1.38
LOC0126,Johnport,IL,64793,25.808181,-108.274583,5,1.7
LOC0127,Isaacmouth,MS,99271,37.783475,-98.362334,10,2.32
LOC0128,South Joshuaborough,IA,26366,44.126833,-71.054119,5,1.25
LOC0129,North Josephland,FL,40034,48.403352,-113.796692,2,1.9
LOC0130,Willisfurt,AK,17101,31.582206,-87.663436,8,1.14
LOC0131,Kevinbury,CO,06202,29.058426,-87.268351,7,1.5
LOC0132,Lake Patricia,WY,63774,46.040822,-107.966289,3,1.32
LOC0133,Duranfort,FL,41726,46.820379,-97.159384,8,0.93
LOC0134,Jenniferberg,AZ,07496,29.740789,-68.732136,1,2.11
LOC0135,Grosshaven,DC,80146,35.596714,-104.479773,2,2.23
LOC0136,Port Glendabury,CO,83910,42.261571,-83.396325,8,1.17
LOC0137,North Deanstad,CT,51343,45.288284,-76.107508,8,1.99
LOC0138,Houstonside,AR,11811,29.038607,-103.440607,3,1.92
LOC0139,Lake Amandabury,NM,93864,40.959255,-67.574894,4,1.99
LOC0140,Aaronland,WA,81810,44.388051,-88.325453,1,2.26
LOC0141,Lake Aliciafort,KS,90706,38.193139,-95.44384,1,1.45
LOC0142,Port Josephborough,IN,21508,28.9532,-83.250272,6,1.75
LOC0143,Snyderfurt,CA,84429,25.852691,-99.841694,10,0.69
LOC0144,Lozanoport,WI,29608,31.756812,-83.397377,10,1.43
LOC0145,New Cynthiaborough,CA,81903,44.3889,-108.336264,9,1.64
LOC0146,West Jonathan,WA,53517,26.07439,-71.149126,1,0.8
LOC0147,Christineberg,AL,81074,25.197196,-93.108118,10,0.83
LOC0148,Brownview,TX,26205,33.6788,-110.225979,2,1.63
LOC0149,Lake Jefffort,LA,62492,26.526935,-99.07979,5,1.14
LOC0150,Stevenmouth,WI,24482,28.587671,-72.979497,1,1.76
LOC0151,New Jamesland,NJ,74612,25.556569,-77.997847,10,1.44
LOC0152,West Stephenhaven,NV,29092,37.593276,-96.38527,4,1.8
LOC0153,Paulborough,CA,05968,41.720702,-103.953004,3,1.84
LOC0154,East Julieview,MN,52896,35.249284,-102.553897,4,1.07
LOC0155,New Lori,NY,68382,28.229691,-68.071865,6,1.09
LOC0156,Oliviastad,IN,21011,32.952573,-117.603871,3,2.36
LOC0157,Hurstfort,MO,50777,39.168301,-73.325638,1,1.71
LOC0158,East Adamfort,TX,47583,47.575873,-75.116294,9,1.83
LOC0159,Sullivanberg,MT,16630,48.821385,-111.209861,7,1.3
LOC0160,Nicholasville,MP,20091,30.79847,-104.086552,7,1.2
LOC0161,Aaronmouth,MP,32883,25.253918,-91.535086,1,2.06
LOC0162,Wilsonborough,VT,95512,44.935368,-78.263616,6,1.02
LOC0163,Lake Keithstad,CA,25744,47.238711,-69.824612,2,1.95
LOC0164,Priceshire,CA,05887,36.006484,-67.466904,3,1.46
LOC0165,Saraview,PR,74208,43.514616,-107.969793,8,2.4
LOC0166,West Cristianport,SC,99782,45.788777,-113.035276,4,1.93
LOC0167,East Tasha,NE,88614,39.630755,-96.199666,3,2.26
LOC0168,Jamesstad,WY,05498,45.943052,-92.218858,2,2.34
LOC0169,Hensonfurt,PW,88043,25.573673,-86.567833,7,1.79
LOC0170,Lake Christopher,VA,42994,31.518285,-117.867305,10,2.38
LOC0171,Hayesberg,SD,15932,31.65327,-87.157707,6,1.66
LOC0172,Toddside,DC,51597,27.895178,-71.481392,8,1.18
LOC0173,South Robert,LA,79081,46.857123,-71.833539,9,2.22
LOC0174,Jonathanview,MO,60234,25.730542,-70.204882,9,1.96
LOC0175,West Timothy,TN,72597,41.141465,-71.426643,9,1.27
LOC0176,Wilsonburgh,CA,82688,26.712152,-69.235664,9,1.87
LOC0177,New Rebecca,NM,40637,33.658732,-121.224525,10,2.03
LOC0178,South Rebecca,WV,85570,35.034389,-71.786963,10,0.97
LOC0179,Simmonsside,ID,55560,29.353703,-108.54087,9,1.08
LOC0180,North Gregg,OH,40898,37.504338,-105.722053,10,1.56
LOC0181,West Johnview,AS,76866,37.839802,-97.858988,4,1.33
LOC0182,North Kara,MT,33171,32.609053,-69.549017,2,1.73
LOC0183,Gutierrezhaven,IL,56303,42.690113,-89.509933,1,1.49
LOC0184,Nelsonton,NM,51515,28.844858,-103.896487,2,2.34
LOC0185,Autumnstad,DC,86856,29.620197,-102.673014,9,2.24
LOC0186,North Joseph,IA,48663,33.508264,-72.419076,1,1.67
LOC0187,Rossmouth,NE,59062,34.081027,-77.126189,10,2.18
LOC0188,Melindatown,DC,66506,29.950861,-116.16035,9,1.27
LOC0189,South Jennafort,OR,57956,47.049021,-109.825134,8,1.72
LOC0190,Smithfurt,GU,23931,44.874246,-102.799124,5,1.3
LOC0191,Comptonbury,WY,03564,27.565042,-111.645707,5,2.38
LOC0192,East Erichaven,TX,00960,33.867662,-91.88154,1,1.79
LOC0193,Port Jennifermouth,CO,81620,30.584106,-111.252591,6,1.97
LOC0194,North Kimberlybury,OK,64660,35.825886,-91.229304,4,2.3
LOC0195,Lake Jenniferberg,SC,61485,31.631612,-70.646597,4,1.46
LOC0196,Allisonchester,UT,31335,37.043365,-75.625469,7,1.78
LOC0197,North Chadhaven,OR,59066,47.142476,-118.341983,2,2.09
LOC0198,South Jose,WY,81578,34.180267,-112.206426,2,0.71
LOC0199,North Amandamouth,KY,60569,40.60308,-100.473293,6,2.17
LOC0200,Deannabury,NJ,24037,39.294907,-87.170728,3,1.31
LOC0201,New John,MT,62526,43.046885,-101.965717,1,1.1
LOC0202,Brianborough,NM,52974,26.479968,-109.658095,6,1.39
LOC0203,Millerbury,TN,14535,42.875768,-104.354435,1,0.75
LOC0204,Buckleybury,NM,09298,47.710622,-112.371226,4,2.47
LOC0205,Lake Matthewchester,MN,17337,39.485429,-74.873597,5,1.53
LOC0206,Gonzalezport,WA,47500,31.901919,-84.256652,2,1.65
LOC0207,East Tylerborough,ME,56940,41.136861,-100.571341,4,0.93
LOC0208,East Steven,KS,48385,42.089171,-84.075409,9,1.24
LOC0209,Danielfort,RI,12522,40.754807,-94.375429,6,1.82
LOC0210,East Todd,PW,58430,28.526328,-94.003054,5,2.3
LOC0211,New Dustinfurt,AR,66606,48.363414,-103.06073,3,2.41
LOC0212,North Terri,FL,67368,47.929203,-96.171554,2,2.48
LOC0213,Williamston,HI,86627,35.191013,-67.825574,4,1.01
LOC0214,Colemouth,VA,05844,39.247296,-79.285503,4,1.44
LOC0215,North Sarahmouth,ID,05829,25.951086,-76.821083,2,2.06
LOC0216,Lake Sharon,WA,83920,48.727224,-116.910804,7,1.06
LOC0217,Johnsonfurt,MP,17575,44.64988,-95.256383,7,0.77
LOC0218,Tracimouth,GA,11280,40.276056,-103.086646,8,1.63
LOC0219,North Christianland,MI,96639,43.266034,-118.932303,7,2.48
LOC0220,Mosesville,OH,41621,29.512718,-101.46921,8,2.09
LOC0221,South Michael,GU,94924,32.38371,-119.771303,2,1.56
LOC0222,Lynnchester,CO,67541,30.913447,-110.660876,6,1.38
LOC0223,Lake Thomasstad,ND,10982,39.305179,-78.470525,4,2.35
LOC0224,Leestad,WA,07613,27.205716,-84.885604,7,1.81
LOC0225,Johnsonchester,IA,99074,46.49464,-84.182842,5,2.32
LOC0226,Williamston,NH,66551,36.094623,-119.476601,10,2.17
LOC0227,Port Samanthaview,ID,50028,35.675497,-114.65301,1,1.34
LOC0228,New Matthewview,MA,86057,27.513071,-122.769704,5,2.42
LOC0229,West Juliemouth,KY,18351,41.437697,-118.441672,4,0.95
LOC0230,Adamland,AK,03890,44.605456,-118.230528,9,1.81
LOC0231,North Thomas,NH,09201,40.109204,-69.271753,3,0.96
LOC0232,Clarkechester,GU,80995,30.808543,-73.044778,9,1.28
LOC0233,Andersonfort,HI,96456,43.850097,-112.357523,4,1.41
LOC0234,Port Sarahport,GU,91274,28.496306,-109.532662,10,2.07
LOC0235,New Joel,VI,14864,44.854632,-69.229963,3,2.37
LOC0236,Stevenland,NY,25890,38.936929,-91.510134,2,0.63
LOC0237,South Karen,IA,17752,31.944947,-102.994172,10,1.16
LOC0238,Brownton,NJ,64971,37.317842,-97.406975,7,1.82
LOC0239,Eugenechester,FM,38234,40.092434,-108.484033,10,1.27
LOC0240,North Josephland,IL,22142,31.206148,-90.736095,5,1.52
LOC0241,South Vernonmouth,HI,90433,45.325757,-82.659506,10,0.79
LOC0242,East Robert,RI,95014,35.110089,-94.619449,7,1.22
LOC0243,Lake Amanda,WI,29484,46.416099,-77.222019,8,2.48
LOC0244,Port Maryport,KY,09088,45.051245,-117.547,9,0.92
LOC0245,Nathanview,ID,46493,27.38434,-89.59178,10,1.18
LOC0246,Wrightbury,IA,80513,40.510099,-67.592669,7,0.93
LOC0247,West Nicole,OR,99614,32.45187,-115.502494,5,1.23
LOC0248,West Calvin,KS,33560,43.097277,-95.782944,7,1.3
LOC0249,New Alicia,SD,21310,38.02316,-88.081719,5,2.24
LOC0250,Lake Steventon,CT,42947,35.982373,-104.760823,6,1.65
