operation_type,cdc_timestamp,batch_date,property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555667,LST0555667,AG02350,LOC0244,Single Family,4,2.5,2034,1939,1999,355800.0,2026-08-19,Active,,,0,0.0,0,Yes,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555668,LST0555668,AG01610,LOC0047,Single Family,5,1.0,2386,2239,1993,856200.0,2026-08-19,Active,,,0,0.0,3,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555669,LST0555669,AG02736,LOC0136,Single Family,3,2.0,3052,2391,1978,338700.0,2026-08-19,Active,,,0,0.0,3,No,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555670,LST0555670,AG01734,LOC0191,Single Family,5,2.5,1965,3121,1997,972100.0,2026-08-19,Active,,,0,0.0,3,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555671,LST0555671,AG01520,LOC0180,Single Family,2,1.5,3057,4624,1995,1024200.0,2026-08-19,Active,,,0,0.0,1,No,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555672,LST0555672,AG00075,LOC0177,Multi-Family,1,2.5,4148,6453,1967,1023000.0,2026-08-19,Active,,,0,0.0,1,No,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555673,LST0555673,AG01720,LOC0047,Single Family,6,3.0,1976,5148,1968,1029300.0,2026-08-19,Active,,,0,0.0,0,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555674,LST0555674,AG02543,LOC0246,Single Family,5,3.0,1234,11858,1980,155900.0,2026-08-19,Active,,,0,0.0,2,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555675,LST0555675,AG02656,LOC0166,Condo,6,2.0,1764,6429,1967,715900.0,2026-08-19,Active,,,0,784.95,3,No,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555676,LST0555676,AG00168,LOC0233,Condo,3,4.5,1914,2326,1992,415800.0,2026-08-19,Active,,,0,785.47,3,No,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555677,LST0555677,AG02617,LOC0164,Multi-Family,1,4.5,4665,2918,1934,1743300.0,2026-08-19,Active,,,0,0.0,2,Yes,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555678,LST0555678,AG01596,LOC0232,Single Family,3,3.0,1755,2999,1921,616500.0,2026-08-19,Active,,,0,0.0,0,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555679,LST0555679,AG00038,LOC0010,Single Family,2,2.0,2584,9031,1908,1164700.0,2026-08-19,Active,,,0,0.0,1,No,Yes,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555680,LST0555680,AG01432,LOC0181,Condo,2,3.5,2233,7041,2007,118800.0,2026-08-19,Active,,,0,768.96,0,Yes,No,2026-08-19,2026-08-19
INSERT,2026-08-19T00:00:00,2026-08-19,PT0555681,LST0555681,AG01691,LOC0131,Multi-Family,2,2.5,2758,1648,1952,914300.0,2026-08-19,Active,,,0,0.0,1,No,Yes,2026-08-19,2026-08-19
